"Decay Calculations for Am-238 for 8435.569952 minutes",,
Nuclide,Activity,Integrated Activity (days)
Am-238  ,1.225E-26,8483
Pu-238  ,0.000002124,1.057
Np-234  ,6.243E-09,0.005059
U-234   ,9.505E-14,2.367E-08
Th-230  ,6.899E-21,6.098E-18
Ra-226  ,9.19E-29,0
Rn-222  ,2.031E-29,0
Po-218  ,2.031E-29,0
Pb-214  ,1.992E-29,0
At-218  ,4.044E-33,0
Bi-214  ,1.992E-29,0
Rn-218  ,3.997E-36,0
Po-214  ,1.953E-29,0
Tl-210  ,4.142E-33,0
Pb-210  ,0,0
Bi-210  ,1.175E-38,0
Hg-206  ,7.523E-37,0
Po-210  ,2.068E-25,0
Tl-206  ,4.89E-35,0
