"Decay Calculations for Am-246m for 9561.173707 minutes",,
Nuclide,Activity,Integrated Activity (days)
Am-246m ,0,2164
Cm-246  ,9.986E-09,0.005707
Pu-242  ,3.342E-16,9.549E-11
U-238   ,4.717E-28,0
Th-234  ,3.155E-29,0
Pa-234m ,2.998E-29,0
Pa-234  ,4.314E-32,0
U-234   ,1.233E-32,0
Th-230  ,1.263E-29,0
Ra-226  ,1.263E-29,0
Rn-222  ,1.896E-29,0
Po-218  ,1.265E-29,0
Pb-214  ,1.896E-29,0
At-218  ,3.083E-33,0
Bi-214  ,1.265E-29,0
Rn-218  ,3.012E-36,0
Po-214  ,1.265E-29,0
Tl-210  ,1.547E-33,0
Pb-210  ,6.343E-30,0
Bi-210  ,6.326E-30,0
Hg-206  ,2.828E-37,0
Po-210  ,1.265E-29,0
Tl-206  ,6.357E-36,0
