"Decay Calculations for Cf-254 for 1448.174376 days",,
Nuclide,Activity,Integrated Activity (days)
Cf-254  ,6.228E-08,7541000
Cm-250  ,6.185E-08,7.273
Pu-246  ,1.113E-08,1.294
Bk-250  ,4.948E-09,0.5818
Am-246m ,1.113E-08,1.294
Cf-250  ,8.862E-10,0.05403
Cm-246  ,6.219E-12,0.0003585
Pu-242  ,2.099E-17,8.148E-10
U-238   ,4.001E-27,0
Th-234  ,3.706E-27,0
Pa-234m ,3.703E-27,0
Pa-234  ,5.929E-30,0
U-234   ,0,0
Th-230  ,2.465E-32,0
Ra-226  ,0,0
Rn-222  ,0,0
Po-218  ,0,0
Pb-214  ,0,0
At-218  ,3.009E-36,0
Bi-214  ,6.019E-36,0
Rn-218  ,0,0
Po-214  ,3.084E-33,0
Tl-210  ,7.347E-40,0
Pb-210  ,3.011E-36,0
Bi-210  ,1.262E-29,0
Hg-206  ,1.121E-44,0
Po-210  ,1.262E-29,0
Tl-206  ,1.561E-39,0
