"Decay Calculations for Pa-234 for 2.666575691 hours",,
Nuclide,Activity,Integrated Activity (days)
Pa-234  ,0.7589,8389
U-234   ,7.506E-10,0.000003768
Th-230  ,1.098E-18,4.723E-13
Ra-226  ,0,4.719E-13
Rn-222  ,0,4.719E-13
Po-218  ,0,4.719E-13
Pb-214  ,0,4.718E-13
At-218  ,0,9.438E-17
Bi-214  ,8.272E-25,4.719E-13
Rn-218  ,0,9.438E-20
Po-214  ,0,4.718E-13
Tl-210  ,0,9.91E-17
Pb-210  ,1.972E-31,4.72E-13
Bi-210  ,0,4.72E-13
Hg-206  ,2.939E-39,8.967E-21
Po-210  ,0,4.72E-13
Tl-206  ,1.91E-37,6.319E-19
